,gid,population_cnt,year
480,다사242366,580,2018
481,다사254366,190,2018
482,다사280354,0,2018
483,다사252365,141,2018
484,다사245361,12,2018
485,다사245332,224,2018
486,다사254329,221,2018
487,다사259349,215,2018
488,다사251364,227,2018
489,다사248358,0,2018
490,다사252354,0,2018
491,다사250328,563,2018
492,다사251369,13,2018
493,다사248306,48,2018
494,다사269338,620,2018
495,다사257327,378,2018
496,다사274364,34,2018
497,다사261365,336,2018
498,다사247332,0,2018
499,다사273353,150,2018
500,다사247337,259,2018
501,다사265340,496,2018
502,다사276355,617,2018
503,다사286359,466,2018
504,다사262345,637,2018
505,다사289362,314,2018
506,다사264344,355,2018
507,다사259352,0,2018
508,다사270343,170,2018
509,다사258370,274,2018
510,다사251326,297,2018
511,다사263368,384,2018
512,다사263365,270,2018
513,다사265360,616,2018
514,다사270341,333,2018
515,다사246336,28,2018
516,다사286364,171,2018
517,다사277349,452,2018
518,다사276358,211,2018
519,다사274358,280,2018
520,다사246313,324,2018
521,다사265369,807,2018
522,다사256364,50,2018
523,다사250333,127,2018
524,다사255326,204,2018
525,다사264351,179,2018
526,다사241340,312,2018
527,다사287359,301,2018
528,다사263356,238,2018
529,다사293365,285,2018
530,다사244363,570,2018
531,다사274365,345,2018
532,다사240334,443,2018
533,다사265338,845,2018
534,다사265349,406,2018
535,다사236334,776,2018
536,다사267347,293,2018
537,다사252352,0,2018
538,다사266358,0,2018
539,다사249328,240,2018
540,다사282354,330,2018
541,다사254305,479,2018
542,다사250306,86,2018
543,다사250327,235,2018
544,다사232322,557,2018
545,다사254362,84,2018
546,다사266364,402,2018
547,다사249369,100,2018
548,다사260371,37,2018
549,다사240363,243,2018
550,다사264342,202,2018
551,다사232325,572,2018
552,다사265337,398,2018
553,다사262349,437,2018
554,다사273361,144,2018
555,다사269361,314,2018
556,다사274366,332,2018
557,다사242316,380,2018
558,다사260366,359,2018
559,다사267361,423,2018
560,다사259370,540,2018
561,다사255365,122,2018
562,다사245314,386,2018
563,다사252309,79,2018
564,다사289358,876,2018
