,end_nm,base_date,price_per_area,exclusive_area,floor,right_type
220,송도동,2018,545.53,84.9999,31,분
221,송도동,2018,534.455,84.7966,29,분
222,송도동,2018,535.771,84.999,20,분
223,송도동,2018,558.459,84.9999,31,분
224,송도동,2018,536.354,84.9999,14,분
225,송도동,2018,504.236,84.9999,2,분
226,송도동,2018,532.097,84.7966,16,분
227,송도동,2018,533.276,84.7966,23,분
228,송도동,2018,541.048,84.9999,12,분
229,송도동,2018,548.215,95.8548,41,분
230,송도동,2018,538.118,84.9999,14,분
231,송도동,2018,535.765,84.9999,27,분
232,송도동,2018,530.707,84.9999,8,분
233,송도동,2018,538.118,84.9999,18,분
234,송도동,2018,547.295,84.9999,38,분
235,송도동,2018,535.177,84.9999,23,분
236,송도동,2018,515.459,84.9999,4,분
237,송도동,2018,531.736,84.8166,22,분
238,송도동,2018,549.648,84.9999,37,분
239,송도동,2018,535.765,84.9999,12,분
240,송도동,2018,536.354,84.9999,10,분
241,송도동,2018,519.295,84.9999,4,분
242,송도동,2018,543.536,84.7966,42,분
243,송도동,2018,536.942,84.9999,26,분
244,송도동,2018,540.459,84.9999,17,분
245,송도동,2018,535.765,84.9999,21,분
246,송도동,2018,540.471,84.9999,14,분
247,송도동,2018,558.471,84.9999,34,분
248,송도동,2018,540.471,84.9999,24,분
249,송도동,2018,546.118,84.9999,41,분
250,송도동,2018,549.648,84.9999,31,분
251,송도동,2018,547.295,84.9999,42,분
252,송도동,2018,544.001,84.9999,30,분
253,송도동,2018,546.707,84.9999,48,분
254,송도동,2018,527.026,84.7966,9,분
255,송도동,2018,559.93,84.9999,40,분
256,송도동,2018,521.955,84.7966,7,분
257,송도동,2018,535.765,84.9999,11,분
258,송도동,2018,535.765,84.9999,18,분
259,송도동,2018,532.686,84.7966,21,분
260,송도동,2018,536.942,84.9999,16,분
261,송도동,2018,546.118,84.9999,39,분
262,송도동,2018,525.251,84.8166,20,분
263,송도동,2018,543.468,95.8548,13,분
264,송도동,2018,547.295,84.9999,34,분
265,송도동,2018,536.942,84.9999,10,분
266,송도동,2018,532.097,84.7966,27,분
267,송도동,2018,511.105,84.7966,4,분
268,송도동,2018,532.097,84.7966,11,분
269,송도동,2018,534.023,84.8166,21,분
270,송도동,2018,533.15,95.8548,23,분
271,송도동,2018,546.118,84.9999,32,분
272,송도동,2018,541.648,84.9999,15,분
273,송도동,2018,534.683,84.8166,34,분
274,송도동,2018,530.707,84.9999,8,분
275,송도동,2018,532.629,95.8548,12,분
