,end_nm,base_date,deposit_per_area,exclusive_area,cnstr_year,floor,type
170,송도동,2018,413.590862577098,74.9533,2017,17.0,아파트
171,송도동,2018,437.690805835669,63.9721,2017,32.0,아파트
172,송도동,2018,422.058991341538,63.9721,2017,33.0,아파트
173,송도동,2018,445.5067130827345,63.9721,2017,4.0,아파트
174,송도동,2018,203.21358842370347,63.9721,2017,24.0,아파트
175,송도동,2018,412.07545925809933,84.9359,2017,16.0,아파트
176,송도동,2018,412.07545925809933,84.9359,2017,22.0,아파트
177,송도동,2018,453.32262032980003,63.9721,2017,4.0,아파트
178,송도동,2018,390.7953623532759,63.9721,2017,21.0,아파트
179,송도동,2018,437.690805835669,63.9721,2017,14.0,아파트
180,송도동,2018,388.72050877624895,84.8939,2017,5.0,아파트
181,송도동,2018,468.9544348239311,63.9721,2017,25.0,아파트
182,송도동,2018,453.32262032980003,63.9721,2017,25.0,아파트
183,송도동,2018,400.3018747078679,84.9359,2017,8.0,아파트
184,송도동,2018,390.93163700277404,63.9498,2017,10.0,아파트
185,송도동,2018,422.058991341538,63.9721,2017,27.0,아파트
186,송도동,2018,437.690805835669,63.9721,2017,29.0,아파트
187,송도동,2018,435.62262835856217,84.9359,2017,19.0,아파트
188,송도동,2018,388.5282901576365,84.9359,2017,20.0,아파트
189,송도동,2018,422.058991341538,63.9721,2017,22.0,아파트
190,송도동,2018,412.27932748996096,84.8939,2017,21.0,아파트
191,송도동,2018,400.499918133105,84.8939,2017,28.0,아파트
192,송도동,2018,422.058991341538,63.9721,2017,2.0,아파트
193,송도동,2018,423.84904380833075,84.9359,2017,20.0,아파트
194,송도동,2018,388.5282901576365,84.9359,2017,33.0,아파트
195,송도동,2018,453.32262032980003,63.9721,2017,22.0,아파트
196,송도동,2018,469.1179644033288,63.9498,2017,26.0,아파트
197,송도동,2018,423.84904380833075,84.9359,2017,10.0,아파트
198,송도동,2018,440.274144033685,74.9533,2017,7.0,아파트
199,송도동,2018,468.9544348239311,63.9721,2017,22.0,아파트
200,송도동,2018,319.5125575865656,134.58,2005,14.0,아파트
201,송도동,2018,297.2209838014563,134.58,2005,1.0,아파트
202,송도동,2018,341.61856520202616,84.89,2005,4.0,아파트
203,송도동,2018,365.1784662504418,84.89,2005,6.0,아파트
